,ds,y,LR_pred,LR_pred_with_noise
243,5832,77.23,77.27173895,77.27536565
244,5856,77.15,77.27091255,77.27669816
245,5880,77.25,77.27008615,77.27358455
246,5904,77.06,77.26925976,77.29849887
247,5928,77.04,77.26843336,77.25549759
248,5952,77.22,77.26760696,77.28034792
249,5976,77.48,77.26678057,77.31741544
250,6000,77.12,77.26595417,77.2847215
251,6024,77.07,77.26512777,77.27355706
252,6048,77.36,77.26430137,77.23979329
253,6072,77.11,77.26347498,77.27024238
254,6096,77.17,77.26264858,77.28707023
255,6120,77.24,77.26182218,77.28159277
256,6144,77.32,77.26099578,77.2596578
257,6168,77.21,77.26016939,77.29452089
258,6192,77.2,77.25934299,77.27154285
259,6216,77.15,77.25851659,77.23218984
260,6240,77.35,77.25769019,77.24446467
261,6264,77.16,77.2568638,77.23959912
262,6288,77.1,77.2560374,77.25451614
263,6312,77.17,77.255211,77.26171768
264,6336,77.12,77.2543846,77.25227302
265,6360,77.36,77.25355821,77.27313471
266,6384,77.14,77.25273181,77.26978489
267,6408,77.06,77.25190541,77.2494193
268,6432,77.17,77.25107902,77.21035271
269,6456,77.36,77.25025262,77.22393509
270,6480,77.11,77.24942622,77.23252235
271,6504,77.24,77.24859982,77.24242933
272,6528,77.27,77.24777343,77.20775997
273,6552,77.26,77.24694703,77.22533704
274,6576,77.28,77.24612063,77.2385678
275,6600,77.33,77.24529423,77.22485196
276,6624,77.21,77.24446784,77.25886167
277,6648,77.12,77.24364144,77.23155944
278,6672,77.18,77.24281504,77.23778037
279,6696,77.22,77.24198864,77.21930093
280,6720,77.05,77.24116225,77.26627412
281,6744,77.34,77.24033585,77.23679697
282,6768,77.15,77.23950945,77.23934248
283,6792,77.18,77.23868306,77.28175798
284,6816,77.17,77.23785666,77.25529439
285,6840,77.15,77.23703026,77.22989388
286,6864,77.07,77.23620386,77.29028085
287,6888,77.09,77.23537747,77.20935596
288,6912,76.93,77.23455107,77.22292075
289,6936,77.15,77.23372467,77.23975571
290,6960,77.03,77.23289827,77.225918
291,6984,77.11,77.23207188,77.22891974
292,7008,77.17,77.23124548,77.18470841
293,7032,77.22,77.23041908,77.21096143
294,7056,76.98,77.22959268,77.23085262
295,7080,76.95,77.22876629,77.2162161
296,7104,77.24,77.22793989,77.23487841
297,7128,76.86,77.22711349,77.21795207
298,7152,76.84,77.2262871,77.17953982
299,7176,77.07,77.2254607,77.22248223
300,7200,76.89,77.2246343,77.2451356
301,7224,77.1,77.2238079,77.19753862
302,7248,77.08,77.22298151,77.21834834
303,7272,77.12,77.22215511,77.25104435
304,7296,77.11,77.22132871,77.21726043
305,7320,77.03,77.22050231,77.25327771
306,7344,77.16,77.21967592,77.22924829
307,7368,77.08,77.21884952,77.19319837
308,7392,77.18,77.21802312,77.22474487
309,7416,77.01,77.21719672,77.20777261
310,7440,77.23,77.21637033,77.21423836
311,7464,77.03,77.21554393,77.21306348
312,7488,77.09,77.21471753,77.19865877
313,7512,77.18,77.21389113,77.21014647
314,7536,77.11,77.21306474,77.19912562
315,7560,77.08,77.21223834,77.21721177
316,7584,77.27,77.21141194,77.21724348
317,7608,77.11,77.21058555,77.19326594
318,7632,77.09,77.20975915,77.23629188
319,7656,77.02,77.20893275,77.19566907
320,7680,77.21,77.20810635,77.15352244
321,7704,77.03,77.20727996,77.20495297
322,7728,76.86,77.20645356,77.17276905
323,7752,77.21,77.20562716,77.22588965
324,7776,77.05,77.20480076,77.1753015
325,7800,77.03,77.20397437,77.24000686
326,7824,77.01,77.20314797,77.24874946
327,7848,77.13,77.20232157,77.20360765
328,7872,77.19,77.20149517,77.20576296
329,7896,77.27,77.20066878,77.20716635
330,7920,77.07,77.19984238,77.2136142
331,7944,77.09,77.19901598,77.15657072
332,7968,77.07,77.19818959,77.21989751
333,7992,76.99,77.19736319,77.21375767
334,8016,77.14,77.19653679,77.21027863
335,8040,76.98,77.19571039,77.19636206
336,8064,76.98,77.194884,77.18881858
337,8088,77.24,77.1940576,77.19547686
338,8112,77.16,77.1932312,77.18498326
339,8136,77.09,77.1924048,77.192815
340,8160,77.27,77.19157841,77.18647984
341,8184,76.99,77.19075201,77.21694741
342,8208,77.21,77.18992561,77.18539568
343,8232,76.99,77.18909921,77.21014254
344,8256,77.23,77.18827282,77.15683638
345,8280,77.19,77.18744642,77.21671923
346,8304,77.18,77.18662002,77.19238154
347,8328,77.14,77.18579362,77.1826885
348,8352,77.05,77.18496723,77.16118474
349,8376,77.18,77.18414083,77.19807269
350,8400,77.12,77.18331443,77.20493238
351,8424,77.08,77.18248804,77.19891087
352,8448,77.21,77.18166164,77.19181115
353,8472,77.28,77.18083524,77.20981569
354,8496,77.2,77.18000884,77.18914956
355,8520,77.14,77.17918245,77.18552875
356,8544,77.13,77.17835605,77.16036478
357,8568,77.23,77.17752965,77.17429864
358,8592,77.08,77.17670325,77.14663753
359,8616,77.19,77.17587686,77.16112355
360,8640,77.08,77.17505046,77.1438203
361,8664,77.06,77.17422406,77.16189163
362,8688,77,77.17339766,77.16371607
363,8712,77.26,77.17257127,77.15657365
364,8736,76.92,77.17174487,77.1579774
365,8760,77.16,77.17091847,77.18956586
366,8784,77.05,77.17009208,77.16226092
367,8808,77.19,77.16926568,77.19955295
368,8832,77,77.16843928,77.19295208
369,8856,77.18,77.16761288,77.17424297
370,8880,77.16,77.16678649,77.15728782
371,8904,77.03,77.16596009,77.13395331
372,8928,77.01,77.16513369,77.16828915
373,8952,77.28,77.16430729,77.15369728
374,8976,77.2,77.1634809,77.17746617
375,9000,77.27,77.1626545,77.18589663
376,9024,77.16,77.1618281,77.1786006
377,9048,77.09,77.1610017,77.16914419
378,9072,77.33,77.16017531,77.13470913
379,9096,77.18,77.15934891,77.19143497
380,9120,76.91,77.15852251,77.15430961
381,9144,77.11,77.15769612,77.17486354
382,9168,77.48,77.15686972,77.18976681
